"","x"
"A0-A3",0.28
"A0-A6",0.035
"A0-C0",0.345
"A0-C3",0.67741935483871
"A0-C6",0.26
"A0-N0",0.987
"A0-N3",0.67741935483871
"A0-N6",0.942558139534884
"A0-NT0",0.987
"A0-NT3",0.987
"A0-NT6",0.987
"A0-P0",0.939615384615385
"A0-P3",0.942558139534884
"A0-P6",0.273913043478261
"A3-A6",0.758507462686567
"A3-C0",0.866619718309859
"A3-C3",0.26
"A3-C6",0.987
"A3-N0",0.287777777777778
"A3-N3",0.26
"A3-N6",0.531702127659574
"A3-NT0",0.318387096774194
"A3-NT3",0.531702127659574
"A3-NT6",0.430243902439024
"A3-P0",0.42
"A3-P3",0.287777777777778
"A3-P6",0.942558139534884
"A6-C0",0.318387096774194
"A6-C3",0.035
"A6-C6",0.67741935483871
"A6-N0",0.035
"A6-N3",0.09
"A6-N6",0.26
"A6-NT0",0.063
"A6-NT3",0.26
"A6-NT6",0.170625
"A6-P0",0.09
"A6-P3",0.063
"A6-P6",0.4325
"C0-C3",0.374594594594595
"C0-C6",0.8625
"C0-N0",0.287777777777778
"C0-N3",0.345
"C0-N6",0.67741935483871
"C0-NT0",0.42
"C0-NT3",0.698333333333333
"C0-NT6",0.6153
"C0-P0",0.355833333333333
"C0-P3",0.318387096774194
"C0-P6",0.942558139534884
"C3-C6",0.198333333333333
"C3-N0",0.714
"C3-N3",0.987
"C3-N6",0.67741935483871
"C3-NT0",0.67741935483871
"C3-NT3",0.871643835616438
"C3-NT6",0.710390625
"C3-P0",0.67741935483871
"C3-P3",0.871643835616438
"C3-P6",0.26
"C6-N0",0.26
"C6-N3",0.26
"C6-N6",0.457333333333333
"C6-NT0",0.26
"C6-NT3",0.457333333333333
"C6-NT6",0.345
"C6-P0",0.345
"C6-P3",0.26
"C6-P6",0.942558139534884
"N0-N3",0.67741935483871
"N0-N6",0.942558139534884
"N0-NT0",0.987
"N0-NT3",0.987
"N0-NT6",0.987
"N0-P0",0.875
"N0-P3",0.942558139534884
"N0-P6",0.273913043478261
"N3-N6",0.67741935483871
"N3-NT0",0.67741935483871
"N3-NT3",0.8625
"N3-NT6",0.67741935483871
"N3-P0",0.644411764705882
"N3-P3",0.8625
"N3-P6",0.26
"N6-NT0",0.966724137931035
"N6-NT3",0.980795454545454
"N6-NT6",0.987
"N6-P0",0.987
"N6-P3",0.875
"N6-P6",0.535714285714286
"NT0-NT3",0.987
"NT0-NT6",0.987
"NT0-P0",0.942558139534884
"NT0-P3",0.939615384615385
"NT0-P6",0.318387096774194
"NT3-NT6",0.987
"NT3-P0",0.987
"NT3-P3",0.987
"NT3-P6",0.53375
"NT6-P0",0.987
"NT6-P3",0.939615384615385
"NT6-P6",0.434651162790698
"P0-P3",0.758507462686567
"P0-P6",0.417236842105263
"P3-P6",0.26
